Порядковый номер,Район,Адрес,Количество видеокамер
1.1,Адмиралтейский район,"10-я Красноармейская улица, дом 11",3
1.2,Адмиралтейский район,"10-я Красноармейская улица, дом 13",3
1.3,Адмиралтейский район,"10-я Красноармейская улица, дом 21",1
1.4,Адмиралтейский район,"10-я Красноармейская улица, дом 23",5
1.5,Адмиралтейский район,"10-я Красноармейская улица, дом 24",2
1.6,Адмиралтейский район,"10-я Красноармейская улица, дом 3",10
1.7,Адмиралтейский район,"10-я Красноармейская улица, дом 4",2
1.8,Адмиралтейский район,"10-я Красноармейская улица, дом 5а",1
1.9,Адмиралтейский район,"10-я Красноармейская улица, дом 8",3
1.10,Адмиралтейский район,"11-я Красноармейская улица, дом 12",5
1.11,Адмиралтейский район,"11-я Красноармейская улица, дом 13",1
1.12,Адмиралтейский район,"11-я Красноармейская улица, дом 16",2
1.13,Адмиралтейский район,"11-я Красноармейская улица, дом 2б",2
1.14,Адмиралтейский район,"11-я Красноармейская улица, дом 4",2
1.15,Адмиралтейский район,"11-я Красноармейская улица, дом 5/13",4
1.16,Адмиралтейский район,"11-я Красноармейская улица, дом 6",1
1.17,Адмиралтейский район,"11-я Красноармейская улица, дом 8",1
1.18,Адмиралтейский район,"11-я Красноармейская улица, дом 8, литера Б",1
1.19,Адмиралтейский район,"11-я Красноармейская улица, дом 9",3
1.20,Адмиралтейский район,"12-я Красноармейская улица, дом 1/21",3
1.21,Адмиралтейский район,"12-я Красноармейская улица, дом 11",3
1.22,Адмиралтейский район,"12-я Красноармейская улица, дом 12",6
1.23,Адмиралтейский район,"12-я Красноармейская улица, дом 13",1
1.24,Адмиралтейский район,"12-я Красноармейская улица, дом 13, литера Б",1
1.25,Адмиралтейский район,"12-я Красноармейская улица, дом 14, литера В",2
1.26,Адмиралтейский район,"12-я Красноармейская улица, дом 15",1
1.27,Адмиралтейский район,"12-я Красноармейская улица, дом 16, литера Н",3
1.28,Адмиралтейский район,"12-я Красноармейская улица, дом 19",4
1.29,Адмиралтейский район,"12-я Красноармейская улица, дом 21",3
1.30,Адмиралтейский район,"12-я Красноармейская улица, дом 23",3
1.31,Адмиралтейский район,"12-я Красноармейская улица, дом 24",2
1.32,Адмиралтейский район,"12-я Красноармейская улица, дом 29",3
1.33,Адмиралтейский район,"12-я Красноармейская улица, дом 34",4
1.34,Адмиралтейский район,"12-я Красноармейская улица, дом 6, литера Г",1
1.35,Адмиралтейский район,"12-я Красноармейская улица, дом 7",1
1.36,Адмиралтейский район,"12-я Красноармейская улица, дом 8",3
1.37,Адмиралтейский район,"13-я Красноармейская улица, дом 14",8
1.38,Адмиралтейский район,"13-я Красноармейская улица, дом 15",2
1.39,Адмиралтейский район,"13-я Красноармейская улица, дом 15, литера Б",1
1.40,Адмиралтейский район,"13-я Красноармейская улица, дом 16",1
1.41,Адмиралтейский район,"13-я Красноармейская улица, дом 19",1
1.42,Адмиралтейский район,"13-я Красноармейская улица, дом 20",3
1.43,Адмиралтейский район,"13-я Красноармейская улица, дом 21, литера Б",1
1.44,Адмиралтейский район,"13-я Красноармейская улица, дом 23",2
1.45,Адмиралтейский район,"13-я Красноармейская улица, дом 24",4
1.46,Адмиралтейский район,"13-я Красноармейская улица, дом 26",1
1.47,Адмиралтейский район,"13-я Красноармейская улица, дом 26, литера Б",1
1.48,Адмиралтейский район,"13-я Красноармейская улица, дом 28",1
1.49,Адмиралтейский район,"13-я Красноармейская улица, дом 6",1
1.50,Адмиралтейский район,"1-я Красноармейская улица, дом 1/21, литера Д",3
1.51,Адмиралтейский район,"1-я Красноармейская улица, дом 12",14
1.52,Адмиралтейский район,"1-я Красноармейская улица, дом 14",6
1.53,Адмиралтейский район,"1-я Красноармейская улица, дом 15, опора освещения",2
1.54,Адмиралтейский район,"1-я Красноармейская улица, дом 16",5
1.55,Адмиралтейский район,"1-я Красноармейская улица, дом 18",2
1.56,Адмиралтейский район,"1-я Красноармейская улица, дом 2",8
1.57,Адмиралтейский район,"1-я Красноармейская улица, дом 24",3
1.58,Адмиралтейский район,"1-я Красноармейская улица, дом 3-5-7-9",3
1.59,Адмиралтейский район,"1-я Красноармейская улица, дом 4",3
1.60,Адмиралтейский район,"1-я Красноармейская улица, дом 6",1
1.61,Адмиралтейский район,"1-я Красноармейская улица, дом 8-10",5
1.62,Адмиралтейский район,"2-я Красноармейская улица, дом 14",4
1.63,Адмиралтейский район,"2-я Красноармейская улица, дом 14, литера Б",3
1.64,Адмиралтейский район,"2-я Красноармейская улица, дом 16",2
1.65,Адмиралтейский район,"2-я Красноармейская улица, дом 19",4
1.66,Адмиралтейский район,"2-я Красноармейская улица, дом 2/27",6
1.67,Адмиралтейский район,"2-я Красноармейская улица, дом 4",1
1.68,Адмиралтейский район,"3-я Красноармейская улица, дом 10",5
1.69,Адмиралтейский район,"3-я Красноармейская улица, дом 12",2
