№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
1,Автобус,Остановка,10 КМ,10 КМ,Таллинское ш,"145, 145Б, 147, 165, 245, 442, 458, 458Б, 481, 482, 482В, 484","59.7733718247608,30.1251106"
2,Автобус,Остановка,12-13 ЛИНИИ В.О,12-13 ЛИНИИ В.О,"Средний пр., 12-13-я линии","249, 6","59.9411205734759,30.2717571"
3,Автобус,Остановка,"БОЛЬШОЙ ПР. В.О., УГОЛ 16-17-Й ЛИНИЙ В.О","БОЛЬШОЙ ПР. В.О., УГОЛ 16-17-Й ЛИНИЙ В.О","Большой пр. В.О., Большой ВО Проспект","1, 128, 151, 262, 42, 7","59.9355538598026,30.2711468"
4,Автобус,Остановка,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,"Средний пр., 18-19-я линии","249, 6","59.938797516478,30.2641411"
5,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИЯ В.О., УГОЛ СРЕДНЕГО ПР. В.О","1-Я И КАДЕТСКАЯ ЛИНИЯ В.О., УГОЛ СРЕДНЕГО ПР. В.О","1-я и Кадетская линии, Репина ул","24, 6","59.9445381479294,30.2870083"
6,Автобус,Остановка,1-Я КРАСНОАРМЕЙСКАЯ УЛ,1-Я КРАСНОАРМЕЙСКАЯ УЛ. [71],"ул. 1-я Красноармейская, Советский пер","290, 71","59.9159654248298,30.3104362"
7,Автобус,Остановка,"ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ",Петербургское шоссе,"187, 232, 299","59.7685163592784,30.346138"
8,Автобус,Остановка,21 КМ,21 КМ [485],,485,"59.8833654384968,30.6802368"
9,Автобус,Остановка,22-23-Я ЛИНИИ В.О,22-23-Я ЛИНИИ В.О,"Средний пр., 22-23-я линии","249, 6","59.9373468062945,30.2591171"
10,Автобус,Остановка,25 КМ,25 КМ,A-122,"435, 497, 84","60.1239208991346,30.2300968"
11,Автобус,Остановка,"СЕРТОЛОВО, УЛ. МОЛОДЦОВА","СЕРТОЛОВО, УЛ. МОЛОДЦОВА","Шоссейная улица, улица Молодцова","435, 497, 84","60.1411966127838,30.2086468"
12,Автобус,Остановка,26-27 ЛИНИИ В.О,26-27 ЛИНИИ В.О,"Большой пр. В.О., 26-27-я линии","1, 128, 262, 7","59.9314475102949,30.2571201"
13,Автобус,Остановка,29 КМ,29 КМ [435],Выборгское шоссе,"435, 497","60.1552445097392,30.1911945"
14,Автобус,Остановка,ПОЛОЦКАЯ УЛ,ПОЛОЦКАЯ УЛ,,"179, 254, 325, 374, 375, 375А","59.73362704066,30.4702568"
15,Автобус,Остановка,"СЕРТОЛОВО, УЛ. МИРА","СЕРТОЛОВО, УЛ. МИРА",A-122,"435, 497","60.1648488365798,30.1836891"
16,Автобус,Остановка,31 КМ,31 КМ [435],"15-я линия, Ключевая улица","435, 497","60.1711958035986,30.1794739"
17,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР., УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ","3-Й ВЕРХНИЙ ПЕР., УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ. [113]","Домостроительная ул., 3-й Верхний пер",113,"60.0617874933768,30.3656101"
18,Автобус,Остановка,44 КМ,44 КМ,Мурманское шоссе,"469, 469А, 475, 475А","59.9078740776846,31.0453758"
19,Автобус,Остановка,УЛ. МЕРКУРЬЕВА,УЛ. МЕРКУРЬЕВА,пр. Энгельса,"113, 139, 248","60.071333920434,30.3500004"
20,Автобус,Остановка,5 КМ,5 КМ,Колпинское шоссе,"192, 196, 254, 325, 374","59.7476972556517,30.5124779"
21,Автобус,Остановка,50 КМ,50 КМ,Мурманское ш,"469, 469А, 475, 475А","59.8901744462645,31.1625404"
22,Автобус,Остановка,51 КМ,51 КМ,Мурманское ш,"469, 469А, 475, 475А","59.8885571334191,31.1847038"
23,Автобус,Остановка,56 КМ,56 КМ,"Мурманское шоссе, Песчаная улица","469, 469А, 475, 475А","59.8904554120803,31.2615852"
24,Автобус,Остановка,57 КМ,57 КМ,Мурманское шоссе,"469, 469А, 475, 475А","59.8906335842935,31.270813"
25,Автобус,Остановка,"5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4","5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4 [3, 11]",5-й Предпортовый проезд,"3, 62","59.8381136974062,30.3107719"
26,Автобус,Остановка,"5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД, УГ. УЛ. КОСТЮШКО","5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД, УГ. УЛ. КОСТЮШКО [3, 11]","Галстяна ул., 5-й Предпортовый проезд","13, 147, 150, 155, 252, 3, 301, 31, 39, 62, 63","59.8412330521708,30.3098869"
27,Автобус,Остановка,САД ВАЛЕНТИНА ПИКУЛЯ,"САД ВАЛЕНТИНА ПИКУЛЯ [70, 71]","Измайловский пр., 6-я Красноармейская ул",71,"59.9125243607755,30.3076916"
28,Автобус,Остановка,"КОЛПИНСКОЕ ШОССЕ, УГОЛ СОФИЙСКОЙ УЛ., ПО ТРЕБОВАНИЮ","КОЛПИНСКОЕ ШОССЕ, УГОЛ СОФИЙСКОЙ УЛ., ПО ТРЕБОВАНИЮ",Колпинское шоссе,"192, 196, 324, 330, 374, 396А","59.7489670007707,30.5383129"
29,Автобус,Остановка,"СОВЕТСКИЙ ПР., 43","СОВЕТСКИЙ ПР., 43","Советский проспект, Славянская улица","115, 115А, 189, 327, 328","59.8293408760287,30.5406284"
30,Автобус,Остановка,"БОЛЬШОЙ ПР. В.О., УГОЛ 8-9-Й ЛИНИЙ В.О","БОЛЬШОЙ ПР. В.О., УГОЛ 8-9-Й ЛИНИЙ В.О","Большой пр. В.О., Большой ВО Проспект",7,"59.9385717025538,30.2813473"
31,Автобус,Остановка,"8-9-Я ЛИНИИ В.О., УГОЛ БОЛЬШГО ПР. В.О","8-9-Я ЛИНИИ В.О., УГОЛ БОЛЬШГО ПР. В.О","8-9-я линии, Большой ВО Проспект","1, 100, 128, 151, 24, 42","59.939112284837,30.2800045"
32,Автобус,Остановка,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""","СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" [93]","Торфяная дорога, Липовая аллея","112, 216А, 93","59.9893786771579,30.2559242"
33,Автобус,Остановка,"БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ","БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ","ул. Белоостровская, ул. Земледельческая","137, 237, 33","59.9862253822565,30.3236599"
34,Автобус,Остановка,АВАНГАРДНАЯ УЛ,АВАНГАРДНАЯ УЛ,"Ветеранов пр., Авангардная ул","103, 130, 165, 229, 242, 246, 265, 284, 297, 329, 343Э, 68, 68А","59.8329450142649,30.1835117"
