№;Наименование предприятия;Сокращенное наименование предприятия;Адрес;Обслуживаемый район;Название парка;Руководитель предприятия;Телефон;Факс;Электронная почта;ИНН;ОГРН;Сайт;Сведения о деятельности;Координаты
1; «Охтинка»;"АО ""КСПП ""Охтинка""";195176, Санкт-Петербург, Львовская улица, дом 5;Красногвардейский;;Гехаев Руслан Михайлович;225-12-12;225-50-50;ohtinka@ohtinka.spb.ru;7806345677;5,06785E+12;www.ohtinka.spb.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.968898,30.41992
2; «Приморское»;"АО ""СПП ""Приморское""";197372, Санкт-Петербург, Камышовая улица, дом 23;Приморский;;Лелеков Игорь Геннадьевич;643-50-14;643-50-15;info@sppprim.ru;7814347935;5,06785E+12;www.sppprim.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;60.007812,30.240158
3; «Центральное»;"АО ""СПП ""Центральное""";197198, Санкт-Петербург, улица Лизы Чайкиной, дом 4/12;Адмиралтейский;;Харичева Анна Григорьевна;233-66-73;232-04-36;gupcentralnoe@mail.ru;7813407853;1,08985E+12;www.sppcentralnoe.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.956232,30.298809
4; «Колпинское»;"АО ""СПП ""Колпинское""";196655, Санкт-Петербург, г.Колпино, набережная Комсомольского канала, дом 26;Колпинский;;Пузакова Алла Михайловна;461-53-33;461-53-33;kolpinskoe_sph@mail.ru;7817326228;1,12785E+12;www.kolpinskoe-sph.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.747947,30.612456
5; «Парк 300-летия Санкт-Петербурга»;"СПб ГКУ ""Парк 300-летия Санкт-Петербурга""";197374, Санкт-Петербург, Приморский проспект, дом 74;Приморский;парк 300-летия Санкт-Петербурга;Патиенко Екатерина Александровна;345-10-80;345-10-80;spbpark300@yandex.ru;7813102523;1,03783E+12;www.park300spb.ru;содержание и ремонт объектов зеленых насаждений общего пользования городского значения и уличного озеленения;59.983924,30.202395
6;«Парк культуры и отдыха «Екатерингоф»;"СПб ГКУ ""Парк Екатерингоф""";198099, Санкт-Петербург, Лифляндская улица, дом 12;Адмиралтейский;парк культуры и отдыха Екатерингоф;Синкевич Елена Николаевна;786-99-55;786-99-55;ekateringof@yandex.ru;7809000790;1,02781E+12;нет;содержание и ремонт объектов зеленых насаждений общего пользования городского значения и уличного озеленения;59.902036,30.260164
7;«Садово-парковое предприятие «Невское»;"АО ""СПП ""Невское""";193315, Санкт-Петербург, улица Новосёлов, дом 53, корпус 2;Невский;;Петрова Ольга Викторовна;446-59-42;446-22-29;pponevskoe@mail.ru;7811351651;5,06785E+12;www.sppnevskoe.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.885968,30.482344
8;«Южное»;"СПб ГУСПП ""Южное""";196066, Санкт-Петербург, Московский проспект, дом 189, литера А;Московский;;Гусева Оксана Юрьевна;373-09-92;373-09-92;sppmsk@sppmsk.ru;7810239840;1,03782E+12;www.sppmsk.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.853704,30.318779
10;«Московский парк Победы»;СПб ГУП «Московский парк Победы»;196105, Санкт-Петербург, Кузнецовская улица, дом 25;Московский;Московский парк Победы;Гинтовт Владимир Станиславович;388-08-81;388-08-81;Spbpark@mail.ru;7810242554;1,0278E+12;Www.gupmpp.ru;Содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.871432,30.332577
11;«Южно-Приморский парк»;"АО ""Южно-Приморский парк""";198328, Санкт-Петербург, Петергофское шоссе, дом 27;Красносельский;Южно-Приморский парк;Мухтулов Александр Владимирович;751-52-87;751-52-83;Oaoupp@mail.ru;7807318450;5,06785E+12;Www.yuzhno-primorskypark.narod.ru;Содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.850676,30.173755
