Районы СПб;Площадь района, кв. км.;Численность населения, чел.;Плотность населения, чел./кв. км.
Адмиралтейский ;13,82;155981;11287
Василеостровский;21,47;206680;9626
Выборгский;115,38;541590;4694
Калининский;40,12;536794;13380
Кировский;48;335774;6995
Колпинский;105,8;186169;1760
Красногвардейский;56,83;366971;6457
Красносельский;115;431546;3753
Кронштадский;19,35;44414;2295
Курортный;267,92;83491;312
Московский;73,05;335221;4589
Невский;61,79;547896;8867
Петроградский;24;115757;4823
Петродворцовый;109;134148;1231
Приморский;109,87;699243;6364
Пушкинский;239,95;263732;1099
Фрунзенский;37,47;413983;11048
Центральный;17,12;200654;11720
