Район,Наименование учреждения,Сокращенное наименование,Адрес,Руководитель,Телефон,Наличие ясельных групп,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад «Кудесница» компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ «Кудесница» Петроградского района Санкт-Петербурга,"г.Санкт-Петербург, 1-я Берёзовая аллея, дом 5, литера А",Аболишина Екатерина Сергеевна,+7(812)234-54-06,Есть,+7(812)234-54-06,Dskydesnica@mail.ru,Чкаловское,7813046318,1027806884434,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №12 компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ № 12 компенсирующего вида Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, Съезжинская улица, дом 18-20, литер А",Подгорная Светлана Львовна,+7(812)241-25-29,Нет,+7(812)241-25-29,Gdouds12@yandex.ru,Введенский,7813126644,1027806881563,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 13 Петроградского района Санкт-Петербурга,ГБДОУ № 13 Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, Каменноостровский проспект, дом 18/11, литер А",Садовская Александра Леонидовна,+7(812)232-45-28,Нет,+7(812)232-45-28,Ds13petrograd@mail.ru,Кронверкское,7813124742,1027806887019,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №15 компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ № 15 компенсирующего вида Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Профессора Попова улица, дом 33, литер А",Гончаренко Ольга Геннадьевна,+7(812)246-40-20,Нет,+7(812)246-40-20,Ds15detsad.socspb@mail.ru,Чкаловское,7813125908,1027806880518,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №16 Петроградского района Санкт-Петербурга,ГБДОУ № 16 Петроградского района Санкт-Петербурга,"197136, Санкт-Петербург, Ординарная улица, дом 4, литер А",Акимова Ольга Викторовна,+7(812)232-43-12,Есть,+7(812)232-43-12,Dspetr16@yandex.ru,Аптекарский остров,7813125383,1027806876987,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №2 Петроградского района Санкт-Петербурга,ГБДОУ № 2 Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, Большая Пушкарская улица, дом 47, литер А",Ковалева Ольга Евгеньевна,+7(812)346-26-67,Есть,+7(812)346-26-67,Ds2_kovaleva@mail.ru,"Посадский, Кронверкское",7813127574,1027806879407,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №21 Петроградского района Санкт-Петербурга,ГБДОУ № 21 Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Большая Зеленина, улица, дом 13, литер А",Епихина Наталья Владимировна,+7(812)324-41-45,Нет,+7(812)324-41-45,Spb21ds@mail.ru,Чкаловское,7813127750,1027806882443,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №23 комбинированного вида Петроградского района Санкт-Петербурга,ГБДОУ № 23 комбинированного вида Петроградского района Санкт-Петербурга,"197046, Санкт-Петербург, Троицкая площадь, дом 1, литер А",Данилина Вера Петровна,+7(812)233-01-70,Есть,+7(812)233-01-70,Ds23Spb@yandex.ru,Посадский,7813126073,1027806878967,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение центр развития ребенка-детский сад №24 Петроградского района Санкт-Петербурга,ГБДОУ центр развития ребенка-детский сад №24 Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Корпусная улица, дом 24, литер Г",Филиппова Марина Анатольевна,+7(812)246-26-68,Есть,+7(812)246-26-68,Detsad24petr@yandex.ru,Чкаловское,7813125560,1027806868770,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 25 комбинированного вида Петроградского района Санкт-Петербурга,ГБДОУ № 25 комбинированного вида Петроградского района Санкт-Петербурга,"197136, Санкт-Петербург, Плуталова улица, дом 9, литер А",Екимова Елена Викторовна,+7(812)235-06-09,Нет,+7(812)235-06-09,Det.sad_25@mail.ru,Аптекарский остров,7813125023,1027806879429,
