Наименование административного района;Площадь административного района, км2;Наименование категории земель;Наименование участкового лесничества;Площадь лесов, га;Площадь земель защитных лесов, га;Площадь лесных земель, га;Общая площадь земель, покрытых лесной растительностью, га;Площадь земель с лесами хвойных пород, га;Площадь земель с лесами твердолиственных пород, га;Лесистость территории, %;Порядковый номер
Курортный;267.9;Земли населенных пунктов;Молодежное;4809;4809;4384;4341;3353;8;90;8
Курортный;267.9;Земли населенных пунктов;Комаровское;4088;4088;3854;3841;3043;9;94;7
Курортный;267.9;Земли населенных пунктов;Сестрорецкое;3935;3935;2527;2522;1186;5;64;11
Курортный;267.9;Земли населенных пунктов;Песочинское;1009;1009;850;850;441;0;84;9
Курортный;267.9;Земли населенных пунктов;Приморское;2430;2430;2177;2174;871;3;89;10
Выборгский;115.5;Земли населенных пунктов;Песочинское;2160;2160;1896;1889;1069;11;87;1
Красносельский;114;Земли населенных пунктов;Кипенское;44;44;25;25;4;0;57;5
Приморский;110;Земли населенных пунктов;Песочинское;222;222;195;190;112;0;85;15
Приморский;110;Земли населенных пунктов;Приморское;1403;1403;1127;1124;420;14;80;16
Петродворцовый;109;Земли населенных пунктов;Кипенское;2236;2236;1869;1868;1216;9;84;13
Колпинский;105.6;Земли населенных пунктов;Кипенское;574;574;398;398;137;0;69;3
Курортный муниципальный район (городской округ);267.9;Земли населенных пунктов;потеряно;16271;16271;13791;13727;8893;24;51;12
Выборгский муниципальный район (городской округ);115.5;Земли населенных пунктов;потеряно;2160;2160;1896;1887;1069;11;16;2
Красносельский муниципальный район (городской округ);114;Земли населенных пунктов;потеряно;44;44;25;25;4;0;0;6
Приморский муниципальный район (городской округ);110;Земли населенных пунктов;потеряно;1625;1625;1322;1314;532;14;12;17
Петродворец;109;Земли населенных пунктов;потеряно;2236;2236;1869;1868;1216;9;17;14
Колпино;105.6;Земли населенных пунктов;потеряно;574;574;398;398;137;0;4;4
